K,q,log_count,count,avg_ratio,time,n_samples_used,n_steps_used,n_samples_theoretical,n_steps_theoretical,epsilon
3,2,-4142.521589464999,0.0,0.25233333333333335,0.2871122360229492,1000,173,132710399,173,0.1
3,3,-684.8388638098796,3.7866961184184015e-298,0.6413333333333334,0.5139617919921875,1000,288,132710399,288,0.1
3,4,9.16369391438404,9544.247675800074,0.759,0.7486953735351562,1000,402,132710399,402,0.1
3,5,11.918224960944563,149975.16023686546,0.8075,0.9764711856842041,1000,514,132710399,514,0.1
3,6,13.971185321757936,1168446.1203014,0.83575,1.2213072776794434,1000,627,132710399,627,0.1
3,7,15.63711808081897,6181787.83211389,0.8553333333333333,1.4718952178955078,1000,740,132710399,740,0.1
3,8,17.10050545421386,26708847.99924487,0.8741666666666666,1.725132703781128,1000,852,132710399,852,0.1
3,9,18.39172045574561,97145504.19223805,0.8911666666666666,1.977241039276123,1000,964,132710399,964,0.1
3,10,19.414832104043793,270242997.7943598,0.89675,2.960862159729004,1000,1000,132710399,1077,0.1
3,11,20.459568585929485,768206078.063472,0.9108333333333333,2.3220064640045166,1000,1000,132710399,1189,0.1
4,2,-11046.19006522513,0.0,0.18712499999999999,1.3296849727630615,1000,395,1061683199,395,0.1
4,3,-2752.89359434846,0.0,0.5774166666666667,2.4669547080993652,1000,659,1061683199,659,0.1
4,4,15.562698143080123,5738441.082992475,0.7592083333333334,3.6388678550720215,1000,919,1061683199,919,0.1
4,5,20.52366539982164,819057952.8558074,0.8043333333333335,4.096149682998657,1000,1000,1061683199,1178,0.1
4,6,24.370243981335946,38358576654.60528,0.836125,4.080810546875,1000,1000,1061683199,1437,0.1
4,7,27.533993819331904,907531233281.1503,0.86075,3.955556869506836,1000,1000,1061683199,1695,0.1
4,8,30.01184140755465,10813769671458.158,0.8730833333333333,4.005249977111816,1000,1000,1061683199,1953,0.1
4,9,32.340245946999744,110966109078136.48,0.8893749999999999,4.084834814071655,1000,1000,1061683199,2212,0.1
4,10,34.21300333515352,721969012664799.2,0.8963333333333333,5.7354302406311035,1000,1000,1061683199,2470,0.1
4,11,36.040129126693344,4487755695917021.5,0.9076666666666666,4.661940097808838,1000,1000,1061683199,2727,0.1
5,2,-20712.97810862136,0.0,0.12367500000000001,4.706440210342407,1000,718,4915199999,718,0.1
5,3,-4820.297299716406,0.0,0.569125,6.943939685821533,1000,1000,4915199999,1200,0.1
5,4,23.71175726511825,19855706127.6083,0.7608499999999999,7.176095008850098,1000,1000,4915199999,1675,0.1
5,5,31.60506508242488,53199232337451.195,0.8060499999999999,8.289673566818237,1000,1000,4915199999,2148,0.1
5,6,37.49538640816203,1.9232662648024476e+16,0.833325,7.452709674835205,1000,1000,4915199999,2620,0.1
5,7,42.59702712360981,3.1597580231585715e+18,0.859675,7.590556383132935,1000,1000,4915199999,3091,0.1
5,8,46.46062729570906,1.5051994823482635e+20,0.87105,7.586993455886841,1000,1000,4915199999,3562,0.1
5,9,50.148483805748235,6.014642138877357e+21,0.8873750000000001,8.982123374938965,1000,1000,4915199999,4033,0.1
5,10,53.41681882771155,1.5799002132104184e+23,0.90155,8.206380844116211,1000,1000,4915199999,4504,0.1
5,11,56.25960834489379,2.7116738825129326e+24,0.911975,8.644543409347534,1000,1000,4915199999,4975,0.1
6,2,-36591.057705518855,0.0,0.057916666666666665,10.044479131698608,1000,1000,16588799999,1148,0.1
6,3,-9648.069141374288,0.0,0.5336000000000001,11.496917724609375,1000,1000,16588799999,1920,0.1
6,4,33.75579560861611,457041635416066.5,0.7643,10.931325912475586,1000,1000,16588799999,2681,0.1
6,5,44.88032656047985,3.0994038718407307e+19,0.8045333333333334,12.125809669494629,1000,1000,16588799999,3440,0.1
6,6,53.95238226000295,2.699118183981227e+23,0.8387999999999999,12.7713041305542,1000,1000,16588799999,4196,0.1
6,7,60.795336632830484,2.5297594394194078e+26,0.8570833333333333,11.673548460006714,1000,1000,16588799999,4952,0.1
6,8,66.91942877025116,1.1554167176714885e+29,0.8761166666666667,11.80219054222107,1000,1000,16588799999,5708,0.1
6,9,72.13610241793887,2.1296646694052084e+31,0.8904666666666666,13.914717435836792,1000,1000,16588799999,6463,0.1
6,10,76.66101855298783,1.9654288861640926e+33,0.9013833333333335,13.577487707138062,1000,1000,16588799999,7218,0.1
6,11,80.65728961406886,1.06909378452719e+35,0.9099333333333334,15.862825393676758,1000,1000,16588799999,7973,0.1
7,2,-51090.406352821825,0.0,0.059250000000000004,14.802572965621948,1000,1000,45519667199,1688,0.1
7,3,-18618.699262884085,0.0,0.46539285714285716,17.87113666534424,1000,1000,45519667199,2827,0.1
7,4,44.9984330199511,3.4879572618588738e+19,0.761345238095238,17.54355478286743,1000,1000,45519667199,3951,0.1
7,5,60.601047558889036,2.083054114470433e+26,0.8047261904761904,19.17299795150757,1000,1000,45519667199,5069,0.1
7,6,72.94909171433106,4.801622259364954e+31,0.8380714285714284,18.01049041748047,1000,1000,45519667199,6185,0.1
7,7,82.35882205791452,5.861138119776844e+35,0.8567857142857145,20.078109979629517,1000,1000,45519667199,7300,0.1
7,8,90.6194048834685,2.2672922015222936e+39,0.8744523809523809,19.99681806564331,1000,1000,45519667199,8415,0.1
7,9,97.83173402199509,3.0745548183126657e+42,0.8896071428571427,18.93596911430359,1000,1000,45519667199,9529,0.1
7,10,103.79877341474713,1.200147216894946e+45,0.8981428571428574,21.25433039665222,1000,1000,45519667199,10642,0.1
7,11,109.52053205978355,3.66574903293257e+47,0.9094642857142858,21.051746368408203,1000,1000,45519667199,11756,0.1
8,2,-70421.48877790009,0.0,0.0455,22.85258150100708,1000,1000,107898470399,2344,0.1
8,3,-30350.048378759348,0.0,0.4133392857142857,24.684795141220093,1000,1000,107898470399,3929,0.1
8,4,58.480835300804934,2.4997931187595333e+25,0.7636607142857142,25.51581835746765,1000,1000,107898470399,5492,0.1
8,5,78.68838637654024,1.492560669056703e+34,0.8049642857142858,25.350038528442383,1000,1000,107898470399,7048,0.1
8,6,94.49333196486864,1.0912710874544679e+41,0.8352142857142856,25.428144693374634,1000,1000,107898470399,8601,0.1
8,7,107.59745504291566,5.357732074910696e+46,0.8596964285714286,25.995391368865967,1000,1000,107898470399,10152,0.1
8,8,118.24766348642619,2.261037420841003e+51,0.876,26.11787509918213,1000,1000,107898470399,11702,0.1
8,9,127.46617539224377,2.2795892599008765e+55,0.8892232142857145,24.862278938293457,1000,1000,107898470399,13252,0.1
8,10,135.54280745638212,7.336574635049634e+58,0.899875,27.48440432548523,1000,1000,107898470399,14801,0.1
8,11,142.86470480497962,1.1100766193115053e+62,0.9097410714285715,28.586946964263916,1000,1000,107898470399,16350,0.1
9,2,-96655.2387856762,0.0,0.013763888888888888,32.394490242004395,1000,1000,229323571199,3119,0.1
9,3,-39318.806337607355,0.0,0.4112291666666667,34.23483061790466,1000,1000,229323571199,5230,0.1
9,4,73.29316172857773,6.773540002537326e+31,0.7630138888888889,35.23580741882324,1000,1000,229323571199,7312,0.1
9,5,99.35680201927738,1.4128981501531147e+43,0.8063819444444444,36.08553385734558,1000,1000,229323571199,9386,0.1
9,6,119.36838251156203,6.93473449929329e+51,0.8362708333333333,36.15001463890076,1000,1000,229323571199,11455,0.1
9,7,135.56953776333097,7.535328062941374e+58,0.858111111111111,37.49737238883972,1000,1000,229323571199,13522,0.1
9,8,149.67293363219687,1.0049146249297539e+65,0.8779166666666666,38.816977977752686,1000,1000,229323571199,15588,0.1
9,9,161.4305374895136,1.2834874969757198e+70,0.8915208333333334,37.840604305267334,1000,1000,229323571199,17653,0.1
9,10,171.35280870569824,2.6156478853623653e+74,0.9001458333333332,39.01548433303833,1000,1000,229323571199,19717,0.1
9,11,180.75117346400802,3.156728512504578e+78,0.9106944444444444,40.18079090118408,1000,1000,229323571199,21781,0.1
10,2,-118059.55761712212,0.0,0.024961111111111114,42.37946557998657,1000,1000,447897599999,4015,0.1
10,3,-50358.31110285841,0.0,0.4035833333333333,47.48145389556885,1000,1000,447897599999,6736,0.1
10,4,89.73052096721518,9.321163252801827e+38,0.7624055555555556,48.5191125869751,1000,1000,447897599999,9420,0.1
10,5,122.09750595174646,1.0623633726086943e+53,0.8060277777777777,50.022340297698975,1000,1000,447897599999,12092,0.1
