K,q,log_count,count,avg_ratio,time,n_samples_used,n_steps_used,n_samples_theoretical,n_steps_theoretical,epsilon
3,2,-3451.834830854506,0.0,0.331825,7.445314884185791,10000,173,132710399,173,0.1
3,3,5.538633249587403,254.33015595948606,0.697175,9.0132896900177,10000,288,132710399,288,0.1
3,4,9.153095559464562,9443.628492238866,0.7582000000000001,10.858857870101929,10000,402,132710399,402,0.1
3,5,11.857728946084995,141171.2464246193,0.8034083333333334,12.407212972640991,10000,514,132710399,514,0.1
3,6,13.943684143516025,1136750.309001394,0.8337499999999999,14.058996438980103,10000,627,132710399,627,0.1
3,7,15.675682056535607,6424838.527580152,0.8580333333333335,15.93427562713623,10000,740,132710399,740,0.1
3,8,17.132927783377703,27589002.285953198,0.8764916666666666,17.081217765808105,10000,852,132710399,852,0.1
3,9,18.348854556424577,93069264.77435201,0.88795,18.963359594345093,10000,964,132710399,964,0.1
3,10,19.481436307136683,288855264.90108335,0.9016916666666667,20.89537024497986,10000,1077,132710399,1077,0.1
4,2,-9665.999528522168,0.0,0.22929999999999998,14.683217287063599,10000,395,1061683199,395,0.1
4,3,-4133.909028499889,0.0,0.5138166666666667,22.467540979385376,10000,659,1061683199,659,0.1
4,4,15.61002283460593,6016539.599202571,0.7606166666666668,31.170000791549683,10000,919,1061683199,919,0.1
4,5,20.56194307143025,851017347.7204188,0.8055958333333333,46.939188718795776,10000,1178,1061683199,1178,0.1
4,6,24.360510107256985,37987010422.82516,0.8357125000000001,57.9159791469574,10000,1437,1061683199,1437,0.1
4,7,27.444726267351182,830028826080.2822,0.8574999999999999,64.94184374809265,10000,1695,1061683199,1695,0.1
4,8,30.06433719763371,11396611583542.195,0.8749333333333332,79.00836062431335,10000,1953,1061683199,1953,0.1
4,9,32.33571108642937,110464032529434.0,0.8891499999999999,74.68586945533752,10000,2212,1061683199,2212,0.1
4,10,34.310092118480625,795579677112859.4,0.8999083333333333,82.00476002693176,10000,2470,1061683199,2470,0.1
5,2,-22093.004319582804,0.0,0.10037,41.020225286483765,10000,718,4915199999,718,0.1
5,3,-4820.043790822148,0.0,0.573075,72.2067883014679,10000,1200,4915199999,1200,0.1
5,4,23.71542372989307,19928639997.73328,0.7608275,105.88899540901184,10000,1675,4915199999,1675,0.1
5,5,31.542852003274405,49990395018560.37,0.8047074999999999,140.86836743354797,10000,2148,4915199999,2148,0.1
5,6,37.628410247364066,2.1969032595568724e+16,0.836,196.36844730377197,10000,2620,4915199999,2620,0.1
5,7,42.53016023048337,2.9553838963741204e+18,0.8581900000000001,207.7352695465088,10000,3091,4915199999,3091,0.1
5,8,46.70296107923189,1.9179544344037586e+20,0.8762800000000001,243.87108492851257,10000,3562,4915199999,3562,0.1
5,9,50.27033610257304,6.794063048338668e+21,0.89003,272.7756698131561,10000,4033,4915199999,4033,0.1
5,10,53.34160584695314,1.465429990225434e+23,0.8998125,308.2447772026062,10000,4504,4915199999,4504,0.1
6,2,-34520.75291250113,0.0,0.08334833333333334,121.53609657287598,10000,1148,16588799999,1148,0.1
6,3,-12410.306943501586,0.0,0.4800716666666666,189.3101303577423,10000,1920,16588799999,1920,0.1
